Method,Config,k,status,reason,n_clusters,noise_points,silhouette,calinski_harabasz,davies_bouldin
DBSCAN,eps=0.6,,ok,,2,9,0.8956051401243729,145.9275806579832,0.10466769890914962
DBSCAN,eps=0.8,,ok,,2,6,0.8041374863533132,78.12486284591779,0.24047814984819696
DBSCAN,eps=1.0,,ok,,2,5,0.7774308696006866,62.453311194975015,0.2699460770559113
DBSCAN,eps=1.2,,ok,,2,5,0.7774308696006866,62.453311194975015,0.2699460770559113
KMeans,k=4,4.0,ok,,4,0,0.4597849482368224,10.71545082291169,0.4349140826448513
Agglomerative,k=4,4.0,ok,,4,0,0.4597849482368224,10.71545082291169,0.4349140826448513
GaussianMixture,k=4,4.0,ok,,4,0,0.4597849482368224,10.71545082291169,0.4349140826448513
KMeans,k=3,3.0,ok,,3,0,0.4558059058738924,9.130049834481474,0.585199548190264
Agglomerative,k=3,3.0,ok,,3,0,0.4558059058738924,9.130049834481474,0.585199548190264
KMeans,k=5,5.0,ok,,5,0,0.4391816054211934,13.527244996460379,0.3521908600386838
Agglomerative,k=5,5.0,ok,,5,0,0.4391816054211934,13.527244996460379,0.3521908600386837
GaussianMixture,k=5,5.0,ok,,5,0,0.4391816054211934,13.527244996460379,0.3521908600386838
KMeans,k=2,2.0,ok,,2,0,0.43618295929312334,9.776994876691411,0.8211699602622725
Agglomerative,k=2,2.0,ok,,2,0,0.43618295929312334,9.776994876691411,0.8211699602622725
GaussianMixture,k=2,2.0,ok,,2,0,0.43618295929312334,9.776994876691411,0.8211699602622725
GaussianMixture,k=3,3.0,ok,,3,0,0.4249343073053159,7.833414745278071,0.6353571485474395
