train_end,Model,MAE,RMSE,sMAPE
2011,NaiveLag1,142.161515625,387.92450824963356,8.56723862091886
2011,LinearRegression,205.1050046986737,452.48719618609016,52.90838582178654
2011,HistGradientBoosting,1566.819282510872,4371.004149022976,75.26156712660233
2012,NaiveLag1,148.51231089743587,405.8920604672751,9.583199825582026
2012,LinearRegression,170.4501625015991,342.344033029786,50.552055374321704
2012,HistGradientBoosting,1206.7121465131445,2956.3620515031394,61.357051115404914
2013,NaiveLag1,144.42115,409.78291970924715,10.161984856125219
2013,LinearRegression,168.68879688169793,349.74691736144126,54.78516697599732
2013,HistGradientBoosting,931.207738736814,2967.6271292975616,68.17000733375568
2014,NaiveLag1,102.36432530120479,294.1920900908162,8.500960387558628
2014,LinearRegression,175.49708966379862,372.2093118191081,58.58755288077383
2014,HistGradientBoosting,832.2416512620182,2801.6587093656153,66.91456639567129
