Region,renew_end,renew_delta,TransitionLabel,fossil_share_mean,capacity_mean,Cluster,TransitionScore,PriorityScore,Priority
NU,0.0024442688328156874,0.0024442688328156874,Lagging,0.999644413594786,54.29933333333333,2,7.6923076923076925,81.5,High
AB,0.16822005800558765,0.05238206464274657,Emerging,0.8465701277375649,13621.15375,2,32.69230769230769,75.0,High
SK,0.2521264621653582,0.01649783433307092,Lagging,0.7445136003384629,4101.122916666666,1,26.538461538461544,72.2,High
NB,0.30581738849972195,0.050654216279431175,Lagging,0.7122150087280507,4411.2615166666665,1,37.69230769230769,62.8,High
NS,0.3452416214416124,0.13465818862946458,Emerging,0.7426597360850972,2617.2475,2,59.23076923076923,49.5,High
NL,0.8909526773124085,0.006222578790247346,Mature-Stable,0.11041947569042192,7692.771,0,49.23076923076923,48.5,Medium
ON,0.41693184556305996,0.13962061743491982,Leader,0.6797635475614637,35682.61791666666,2,71.15384615384616,46.5,Medium
NT,0.35208784162859663,0.08076546291185172,Emerging,0.6712563554056898,181.62749999999997,2,60.00000000000001,40.9,Medium
MB,0.9177068962624387,0.00673999629551203,Mature-Stable,0.08580183535684298,5837.317333333333,0,56.92307692307692,38.9,Medium
QC,0.9740045962913253,0.032607687378442884,Mature-Stable,0.0521021565690905,42377.443999999996,2,72.30769230769232,33.5,Low
BC,0.9654180954461467,0.05854008507992936,Leader,0.09009197156225666,16073.988666666666,2,78.46153846153847,31.4,Low
YT,0.7671671060245612,0.06471284453415516,Leader,0.2755783318761089,119.24883333333334,2,69.23076923076923,30.4,Low
PE,0.5614083044036847,0.4754174160209968,Leader,0.5816780098396307,295.2366666666666,2,78.84615384615385,28.8,Low
