Region,renew_share_mean,renew_share_std,fossil_share_mean,hhi_mean,capacity_mean,Cluster,ClusterLabel
AB,0.153429872262435,0.020101950081549406,0.8465701277375649,0.3701012620476929,13621.15375,2,Cluster 2
BC,0.9099080284377433,0.01802331075807701,0.09009197156225666,0.7238211230965316,16073.988666666666,2,Cluster 2
MB,0.9141981646431571,0.00240729091798401,0.08580183535684298,0.7819910943282853,5837.317333333333,0,Cluster 0
NB,0.28778499127194945,0.022441720272424415,0.7122150087280507,0.2252878755569,4411.2615166666665,1,Cluster 1
NL,0.8895805243095781,0.0036492244252580605,0.11041947569042192,0.7892107071742012,7692.771,0,Cluster 0
NS,0.2573402639149028,0.049449930281324446,0.7426597360850972,0.3113738732245267,2617.2475,2,Cluster 2
NT,0.3287436445943102,0.02916911843004558,0.6712563554056898,0.38583431072688407,181.62749999999997,2,Cluster 2
NU,0.00035558640521409613,0.0007112501323402512,0.999644413594786,0.9992900075136646,54.29933333333333,2,Cluster 2
ON,0.3202364524385362,0.05217398669270331,0.6797635475614637,0.25160038207008373,35682.61791666666,2,Cluster 2
PE,0.41832199016036936,0.17647147888857775,0.5816780098396307,0.5649388130677226,295.2366666666666,2,Cluster 2
QC,0.9478978434309094,0.01841092824367023,0.0521021565690905,0.829885541073656,42377.443999999996,2,Cluster 2
SK,0.255486399661537,0.009492197716104007,0.7445136003384629,0.33259562008012733,4101.122916666666,1,Cluster 1
YT,0.7244216681238912,0.02582170931345114,0.2755783318761089,0.5895800726076468,119.24883333333334,2,Cluster 2
