Region,renew_end,renew_delta,TransitionLabel
AB,0.16822005800558765,0.05238206464274657,Emerging
BC,0.9654180954461467,0.05854008507992936,Leader
MB,0.9177068962624387,0.00673999629551203,Mature-Stable
NB,0.30581738849972195,0.050654216279431175,Lagging
NL,0.8909526773124085,0.006222578790247346,Mature-Stable
NS,0.3452416214416124,0.13465818862946458,Emerging
NT,0.35208784162859663,0.08076546291185172,Emerging
NU,0.0024442688328156874,0.0024442688328156874,Lagging
ON,0.41693184556305996,0.13962061743491982,Leader
PE,0.5614083044036847,0.4754174160209968,Leader
QC,0.9740045962913253,0.032607687378442884,Mature-Stable
SK,0.2521264621653582,0.01649783433307092,Lagging
YT,0.7671671060245612,0.06471284453415516,Leader
